,链接,图片,书名,评分,热评,价格,出版日期,出版社,作者
62,https://book.douban.com/subject/1029111/,https://img9.doubanio.com/view/subject/s/public/s1020454.jpg,哭泣的骆驼,8.9,沙漠中寻常的生与死, 15.80元, 2003-6 , 哈尔滨出版社 ,三毛 
63,https://book.douban.com/subject/20424526/,https://img1.doubanio.com/view/subject/s/public/s24516687.jpg,邓小平时代,9.2,个人命运背后的历史变局, 88.00元, 2013-1 , 生活·读书·新知三联书店 ,[美] 傅高义 / 冯克利 
64,https://book.douban.com/subject/2143732/,https://img9.doubanio.com/view/subject/s/public/s2651394.jpg,灿烂千阳,8.8,唯有希望与爱可以驱散阴霾, 28.00元, 2007-9 , 上海人民出版社 ,[美] 卡勒德·胡赛尼 / 李继宏 
65,https://book.douban.com/subject/20427187/,https://img2.doubanio.com/view/subject/s/public/s24468373.jpg,看见,8.8,在这里看见中国, 39.80元, 2013-1-1 , 广西师范大学出版社 ,柴静 
66,https://book.douban.com/subject/6709783/,https://img9.doubanio.com/view/subject/s/public/s6807265.jpg,浪潮之巅,9.0,了解IT领域的入门读物, 55.00元, 2011-8 , 电子工业出版社 ,吴军 
67,https://book.douban.com/subject/1883245/,https://img2.doubanio.com/view/subject/s/public/s1979223.jpg,诗经,9.4,思无邪, 19.90元, 2006-7 , 北京出版社 ,孔丘 编订 
68,https://book.douban.com/subject/1029553/,https://img9.doubanio.com/view/subject/s/public/s1627374.jpg,西游记（全二册）,8.9,神魔皆有人情，精魅亦通世故, 47.20元, 2004-8 , 人民文学出版社 ,吴承恩 / 黄肃秋 注释 
69,https://book.douban.com/subject/5337248/,https://img9.doubanio.com/view/subject/s/public/s4526465.jpg,台北人,8.9,白先勇短篇小说集, 38.00元, 2010-10 , 广西师范大学出版社 ,白先勇 
70,https://book.douban.com/subject/25829693/,https://img3.doubanio.com/view/subject/s/public/s29555070.jpg,"永恒的终结

                
                   : 关于时间旅行的终极奥秘和恢宏构想",9.0,关于时间旅行的终极奥秘和恢宏构想, 32.00元, 2014-9-1 , 江苏凤凰文艺出版社 ,[美] 艾萨克·阿西莫夫 / 崔正男 
71,https://book.douban.com/subject/1007914/,https://img3.doubanio.com/view/subject/s/public/s1067911.jpg,窗边的小豆豆,8.7,真正懂孩子的教育经, 20.00元, 2003-1 , 南海出版公司 ,[日] 黑柳彻子 著 / 赵玉皎 
72,https://book.douban.com/subject/3406401/,https://img1.doubanio.com/view/subject/s/public/s6790238.jpg,悉达多,9.0,在那最绝望的一刹那，他突然听到了生命之河永恒的声音……, 20.00, 2009-3 , 上海人民出版社 ,[德] 赫尔曼·黑塞 / 杨玉功 译 
73,https://book.douban.com/subject/1203426/,https://img1.doubanio.com/view/subject/s/public/s9130587.jpg,人间词话,9.0,以新眼光评旧文学, 9.80元, 1998-12-01 , 上海古籍出版社 ,王国维 
74,https://book.douban.com/subject/3071717/,https://img2.doubanio.com/view/subject/s/public/s4661043.jpg,爱你就像爱生命,8.8,王小波与李银河的两地书, 18.00元, 2008-5 , 上海锦绣文章出版社 ,王小波 
75,https://book.douban.com/subject/26672693/,https://img3.doubanio.com/view/subject/s/public/s29071620.jpg,一个叫欧维的男人决定去死,9.0,这个发生在瑞典的故事，如生命庆典般绚丽斑斓, 35.00元, 2015-12 , 四川文艺出版社 ,[瑞典] 弗雷德里克·巴克曼 / 宁蒙 
76,https://book.douban.com/subject/1023045/,https://img2.doubanio.com/view/subject/s/public/s1015872.jpg,我们仨,8.7,家庭生活回忆录, 18.80元, 2003-7 , 生活·读书·新知三联书店 ,杨绛 
77,https://book.douban.com/subject/26698660/,https://img9.doubanio.com/view/subject/s/public/s28668834.jpg,"巨人的陨落

                
                   : 世纪三部曲",8.9,五个家族，一场战争, 129.80元, 2016-5-1 , 江苏凤凰文艺出版社 ,[英] 肯·福莱特 / 于大卫 
78,https://book.douban.com/subject/26576861/,https://img3.doubanio.com/view/subject/s/public/s28355811.jpg,"最好的告别

                
                   : 关于衰老与死亡，你必须知道的常识",9.0,关于衰老与死亡，你必须知道的常识, 54.90元, 2015-7-31 , 浙江人民出版社 ,[美] 阿图·葛文德（Atul Gawande） / 王一方 主编 
79,https://book.douban.com/subject/1060852/,https://img3.doubanio.com/view/subject/s/public/s1167060.jpg,"呼兰河传

                
                   : 1947年版本・原版珍藏",8.9,萧红的童年往事, 19.00, 2005-01 , 百花文艺出版社 ,萧红 
80,https://book.douban.com/subject/1059258/,https://img3.doubanio.com/view/subject/s/public/s1045431.jpg,道德经,9.4,中国历史上首部完整的哲学著作, 4.50元, 1996-10 , 陕西人民出版社 ,黄元吉 
81,https://book.douban.com/subject/33440205/,https://img9.doubanio.com/view/subject/s/public/s33492346.jpg,你当像鸟飞往你的山,8.8,我来自一个极少有人能想象的家庭，教育给了我新世界, 59.00元, 2019-10-20 , 南海出版公司 ,[美] 塔拉·韦斯特弗 / 任爱红 
82,https://book.douban.com/subject/6388661/,https://img3.doubanio.com/view/subject/s/public/s6828981.jpg,这些人，那些事,8.8,平淡叙述下的惊心动魄, 28.00元, 2011-9 , 译林出版社 ,吴念真 
83,https://book.douban.com/subject/1092335/,https://img1.doubanio.com/view/subject/s/public/s2832939.jpg,教父,9.0,“教父三部曲”电影原著, 23.30元, 1997-8 , 译林出版社 ,[美]马里奥·普佐 / 周汉林 
84,https://book.douban.com/subject/2046909/,https://img9.doubanio.com/view/subject/s/public/s2364685.jpg,故事新编,9.4,拾取古代传说，取一点因由，随意点染, 0.31 元, 1973-12-01 , 人民文学出版社 ,鲁迅 
85,https://book.douban.com/subject/21371175/,https://img2.doubanio.com/view/subject/s/public/s25814002.jpg,"罗杰疑案

                
                   : 阿加莎·克里斯蒂侦探作品集02",9.2,, 28.00元, 2013-3 , 新星出版社 ,[英] 阿加莎·克里斯蒂 / 常禾 
86,https://book.douban.com/subject/1013267/,https://img1.doubanio.com/view/subject/s/public/s1008848.jpg,唐诗三百首,9.4,熟读唐诗三百首，不会吟诗也会吟, 0.65, 1998-1-1 , 中华书局 ,蘅塘退士 
87,https://book.douban.com/subject/24257229/,https://img3.doubanio.com/view/subject/s/public/s27003191.jpg,鼠疫,9.0,用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理, 34.00元, 2013-8 , 上海译文出版社 ,(法)阿尔贝·加缪 / 刘方 
88,https://book.douban.com/subject/1011754/,https://img3.doubanio.com/view/subject/s/public/s1067491.jpg,海子的诗,8.9,, 15.40, 1999-04 , 人民文学出版社 ,海子 
89,https://book.douban.com/subject/1058661/,https://img2.doubanio.com/view/subject/s/public/s1044902.jpg,飞鸟集,8.9,一个淡泊清透的世界, 16.80元, 2004-6 , 哈尔滨出版社 ,[印] 罗宾德拉纳德·泰戈尔 / 徐翰林 
90,https://book.douban.com/subject/1212893/,https://img3.doubanio.com/view/subject/s/public/s3134040.jpg,鹿鼎记（全五册）,8.8,武侠的解构，流氓的狂欢, 108.00元, 2008-3 , 广州出版社 花城出版社 ,金庸 
91,https://book.douban.com/subject/2035171/,https://img1.doubanio.com/view/subject/s/public/s3983958.jpg,人生的枷锁,9.0,在混沌纷扰的生活漩流中，寻求人生的真谛, 32.00元, 2007-3 , 上海译文出版社 ,[英] 毛姆 / 张柏然 
